model_id,vehicle_name,mass_kg,loading_range_kg,rated_power_kw,frontal_area_m2,cd_lower,cd_upper,length_m,width_m,height_m
Model1,M1078,9507,0-13133,"168,205,246","5.1,6.6,9.4",0.70,0.95,6.534,2.438,2.43
Model2,M1083,9423,0-29121,"216,246,276","5.1,6.6,9.4",0.70,0.95,6.739,2.438,2.43
